epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.964715,3.83886,4.44655,3.13365,0,0,0,0,0,5.51847,0,0,0,0
2,1.72738,3.98098,4.67903,3.55132,0,0,0,0,0,5.52159,0,8.91002e-06,8.91002e-06,8.91002e-06
3,2.49975,3.21158,4.35293,2.51117,0,0,0,0,0,5.5248,0,1.74601e-05,1.74601e-05,1.74601e-05
4,3.28917,3.7516,4.37878,2.73169,0,0,0,0,0,5.52837,0,2.56502e-05,2.56502e-05,2.56502e-05
5,4.1774,3.79501,4.33625,2.97498,0,0,0,0,0,5.53173,0,3.34803e-05,3.34803e-05,3.34803e-05
6,4.95285,3.57293,4.7625,2.7312,0,0,0,0,0,5.53533,0,4.09505e-05,4.09505e-05,4.09505e-05
7,5.75437,3.50452,4.33686,2.64283,0,0,0,0,0,5.53901,0,4.80606e-05,4.80606e-05,4.80606e-05
8,6.55429,3.31584,4.38661,2.36379,0,0,0,0,0,5.54275,0,5.48109e-05,5.48109e-05,5.48109e-05
9,7.38467,2.82768,4.1461,2.43963,0,0,0,0,0,5.54649,0,6.12012e-05,6.12012e-05,6.12012e-05
10,8.20234,3.95591,4.48623,3.26956,0,0,0,0,0,5.55014,0,6.72315e-05,6.72315e-05,6.72315e-05
11,9.02052,3.21214,4.07514,2.48253,0,0,0,0,0,5.55335,0,7.29018e-05,7.29018e-05,7.29018e-05
12,9.82113,2.90539,4.33939,2.21642,0,0,0,0,0,5.55719,0,7.82122e-05,7.82122e-05,7.82122e-05
13,10.6107,2.63613,4.10736,2.05042,0,0,0,0,0,5.56047,0,8.31626e-05,8.31626e-05,8.31626e-05
14,11.4287,2.73037,4.30238,2.00205,0,0,0,0,0,5.56402,0,8.7753e-05,8.7753e-05,8.7753e-05
15,12.4646,2.46546,4.14471,2.04214,0,0,0,0,0,5.56724,0,9.19835e-05,9.19835e-05,9.19835e-05
16,13.5779,2.31219,4.17063,1.85355,0,0,0,0,0,5.57105,0,9.5854e-05,9.5854e-05,9.5854e-05
17,14.5351,2.32086,4.11162,1.93939,0,0,0,0,0,5.57531,0,9.93646e-05,9.93646e-05,9.93646e-05
18,15.3476,2.07157,4.0958,1.77356,0,0,0,0,0,5.57531,0,0.000102515,0.000102515,0.000102515
19,16.2655,1.90798,3.856,1.57358,0,0,0,0,0,5.58351,0,0.000105306,0.000105306,0.000105306
20,17.1575,2.03422,4.10277,1.67273,0,0,0,0,0,5.58351,0,0.000107736,0.000107736,0.000107736
21,18.121,1.88724,3.87433,1.74241,0,0,0,0,0,5.59148,0,0.000109807,0.000109807,0.000109807
22,18.9478,2.06775,3.88019,1.75674,0,0,0,0,0,5.59148,0,0.000111518,0.000111518,0.000111518
23,19.8053,2.23014,3.83708,1.88039,0,0,0,0,0,5.59955,0,0.000112869,0.000112869,0.000112869
24,20.6176,2.2422,3.956,1.71703,0,0,0,0,0,5.59955,0,0.00011386,0.00011386,0.00011386
25,21.4064,1.72517,3.79522,1.63256,0,0,0,0,0,5.6088,0,0.00011449,0.00011449,0.00011449
26,22.204,2.15761,3.71676,1.80142,0,0,0,0,0,5.6088,0,0.000114761,0.000114761,0.000114761
27,23.1087,2.1827,3.62718,1.90882,0,0,0,0,0,5.61816,0,0.000114672,0.000114672,0.000114672
28,23.9571,2.06869,3.32943,1.70846,0,0,0,0,0,5.61816,0,0.000114223,0.000114223,0.000114223
29,24.7334,1.77028,3.46001,1.68319,0,0,0,0,0,5.62826,0,0.000113414,0.000113414,0.000113414
30,25.4356,2.37727,3.49392,1.85436,0,0,0,0,0,5.62826,0,0.000112245,0.000112245,0.000112245
31,26.1647,1.77848,3.52717,1.709,0,0,0,0,0,5.64075,0,0.000110716,0.000110716,0.000110716
32,26.9919,1.92848,3.73632,1.54891,0,0,0,0,0,5.64075,0,0.000108827,0.000108827,0.000108827
33,27.8574,1.89717,3.42584,1.56665,0,0,0,0,0,5.65417,0,0.000106578,0.000106578,0.000106578
34,28.9156,2.25784,3.57559,1.87949,0,0,0,0,0,5.65417,0,0.00010397,0.00010397,0.00010397
35,30.136,1.75844,3.50089,1.59691,0,0,0,0,0,5.66978,0,0.000101001,0.000101001,0.000101001
36,31.0478,1.86783,3.31473,1.65005,0,0,0,0,0,5.66978,0,9.76721e-05,9.76721e-05,9.76721e-05
37,32.0071,1.72291,3.17185,1.50106,0,0,0,0,0,5.68761,0,9.39833e-05,9.39833e-05,9.39833e-05
38,32.7872,1.86835,3.12685,1.81857,0,0,0,0,0,5.68761,0,8.99346e-05,8.99346e-05,8.99346e-05
39,33.6681,1.73318,3.12983,1.48573,0,0,0,0,0,5.70991,0,8.5526e-05,8.5526e-05,8.5526e-05
40,34.4388,1.47233,2.96805,1.35234,0,0,0,0,0,5.70991,0,8.07574e-05,8.07574e-05,8.07574e-05
41,35.1932,1.56664,3.08467,1.62121,0,0,0,0,0,5.73211,0,7.56288e-05,7.56288e-05,7.56288e-05
42,35.9084,1.78518,2.91058,1.71266,0,0,0,0,0,5.73211,0,7.01403e-05,7.01403e-05,7.01403e-05
43,36.7295,1.61032,2.93983,1.53415,0,0,0,0,0,5.75824,0,6.42918e-05,6.42918e-05,6.42918e-05
44,37.4822,1.82593,3.03699,1.5981,0,0,0,0,0,5.75824,0,5.80833e-05,5.80833e-05,5.80833e-05
45,38.2846,1.78883,2.77843,1.58908,0,0,0,0,0,5.78752,0,5.15148e-05,5.15148e-05,5.15148e-05
46,38.99,1.83082,2.89314,1.82222,0,0,0,0,0,5.78752,0,4.45864e-05,4.45864e-05,4.45864e-05
47,39.8117,2.16405,2.90955,1.90311,0,0,0,0,0,5.80665,0,3.72981e-05,3.72981e-05,3.72981e-05
48,40.4887,1.58316,2.8684,1.56651,0,0,0,0,0,5.80665,0,2.96498e-05,2.96498e-05,2.96498e-05
49,41.2188,1.62464,2.6369,1.45287,0,0,0,0,0,5.83432,0,2.16415e-05,2.16415e-05,2.16415e-05
50,41.9328,1.53467,2.70913,1.55622,0,0,0,0,0,5.83432,0,1.32732e-05,1.32732e-05,1.32732e-05
