epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47905,3.46987,5.06914,3.77769,0.01242,0.14286,0.07865,0.02618,3.4658,5.18202,2.99061,0,0,0
2,5.05433,3.5323,5.3872,3.14748,0.00969,0.14286,0.07972,0.0265,3.443,5.15256,2.98157,8.91002e-06,8.91002e-06,8.91002e-06
3,7.31333,3.12583,4.18763,3.19782,0.00723,0.14286,0.07913,0.02728,3.43128,5.12596,2.97034,1.74601e-05,1.74601e-05,1.74601e-05
4,9.57467,3.40313,5.29119,3.28264,0.00602,0.14286,0.08163,0.0306,3.39745,5.10769,2.94303,2.56502e-05,2.56502e-05,2.56502e-05
5,11.8644,3.62445,4.44343,3.66243,0.0048,0.14286,0.08917,0.03287,3.32599,5.10007,2.90454,3.34803e-05,3.34803e-05,3.34803e-05
6,14.1495,3.16402,4.38405,2.64613,0.00443,0.14286,0.0935,0.03244,3.21389,5.0909,2.83779,4.09505e-05,4.09505e-05,4.09505e-05
7,16.5156,3.36705,5.09527,3.45493,0.00364,0.14286,0.09478,0.04085,3.16208,5.17342,2.7895,4.80606e-05,4.80606e-05,4.80606e-05
8,19.2205,2.93668,4.11914,2.69829,0.00325,0.14286,0.0975,0.0503,3.08198,5.10904,2.74037,5.48109e-05,5.48109e-05,5.48109e-05
9,22.0697,2.6342,4.67128,2.4882,0.00302,0.14286,0.10246,0.05081,2.92523,5.06573,2.64043,6.12012e-05,6.12012e-05,6.12012e-05
10,24.4938,2.44125,4.84801,2.38746,0.00296,0.14286,0.12429,0.06089,2.87586,4.98914,2.57921,6.72315e-05,6.72315e-05,6.72315e-05
11,27.1852,2.50844,3.97254,2.0944,0.00277,0.14286,0.11536,0.05219,2.88432,4.89985,2.5747,7.29018e-05,7.29018e-05,7.29018e-05
12,29.4725,2.12795,4.4761,2.09064,0.00309,0.17857,0.10436,0.03696,2.8605,4.85886,2.57119,7.82122e-05,7.82122e-05,7.82122e-05
13,32.014,2.65319,4.68242,2.62098,0.00304,0.17857,0.09358,0.02639,2.74302,4.76402,2.50759,8.31626e-05,8.31626e-05,8.31626e-05
14,34.3338,1.59942,3.99477,1.84683,0.00547,0.21429,0.10441,0.03184,2.6165,4.67381,2.44138,8.7753e-05,8.7753e-05,8.7753e-05
